id,from,to,cost,nodes
0,251,250,13.95,"['601663327', '601662226']"
1,250,251,13.95,"['601662226', '601663327']"
2,250,145,504.72,"['601662226', '7028570215', '479299194', '7028570211', '479299959', '1572286483', '1503769908', '1572286482', '71127148', '479302935', '2049780847', '479302313']"
3,145,250,504.72,"['479302313', '2049780847', '479302935', '71127148', '1572286482', '1503769908', '1572286483', '479299959', '7028570211', '479299194', '7028570215', '601662226']"
4,256,78,2309.49,"['602393469', '602393485', '602393486', '602392044', '68572881', '1580625976', '64813767', '475978752', '64813768', '64813769', '475980801']"
5,78,256,2309.49,"['475980801', '64813769', '64813768', '475978752', '64813767', '1580625976', '68572881', '602392044', '602393486', '602393485', '602393469']"
6,2025,144,669.9,"['7114684949', '2049780868', '2049780845', '85010431', '2049780804', '1572270954', '479302873', '486131798', '3113807404', '85010762', '479298745', '479300368', '479299222']"
7,144,2025,669.9,"['479299222', '479300368', '479298745', '85010762', '3113807404', '486131798', '479302873', '1572270954', '2049780804', '85010431', '2049780845', '2049780868', '7114684949']"
8,144,244,70.12,"['479299222', '7028570218', '601145315']"
9,244,144,70.12,"['601145315', '7028570218', '479299222']"
10,244,26,14.54,"['601145315', '152878617']"
11,26,244,14.54,"['152878617', '601145315']"
12,272,197,20.3,"['624783812', '482732933']"
13,197,272,20.3,"['482732933', '624783812']"
14,197,113,185.24,"['482732933', '476560638', '481438664', '476560259']"
15,113,197,185.24,"['476560259', '481438664', '476560638', '482732933']"
16,113,206,32.11,"['476560259', '76482741', '483098199']"
17,206,113,32.11,"['483098199', '76482741', '476560259']"
18,206,203,61.91,"['483098199', '483091135']"
19,203,206,61.91,"['483091135', '483098199']"
20,203,567,121.02,"['483091135', '1573781794', '1316236413']"
21,567,203,121.02,"['1316236413', '1573781794', '483091135']"
22,567,2023,39.74,"['1316236413', '93310707', '7113840960']"
23,2023,567,39.74,"['7113840960', '93310707', '1316236413']"
24,2023,280,83.77,"['7113840960', '639308668']"
25,280,2023,83.77,"['639308668', '7113840960']"
26,280,2024,179.7,"['639308668', '93310725', '6547379877', '7114595663', '7114595664', '6547379878', '7114595669']"
27,2024,280,179.7,"['7114595669', '6547379878', '7114595664', '7114595663', '6547379877', '93310725', '639308668']"
28,2024,14,40.11,"['7114595669', '7114595670', '93332044']"
29,14,2024,40.11,"['93332044', '7114595670', '7114595669']"
30,14,15,12.38,"['93332044', '93332051']"
31,15,14,12.38,"['93332051', '93332044']"
32,15,12,205.42,"['93332051', '6547379882', '475974091', '93310875']"
33,12,15,205.42,"['93310875', '475974091', '6547379882', '93332051']"
34,1,1411,25.94,"['64813770', '1317671123']"
35,1411,1,25.94,"['1317671123', '64813770']"
36,1411,71,38.66,"['1317671123', '475978939']"
37,71,1411,38.66,"['475978939', '1317671123']"
38,71,2,44.48,"['475978939', '64813772']"
39,2,71,44.48,"['64813772', '475978939']"
40,2,1422,75.06,"['64813772', '7113864509', '1317671157']"
41,1422,2,75.06,"['1317671157', '7113864509', '64813772']"
42,1422,62,70.52,"['1317671157', '475980794', '475977913']"
43,62,1422,70.52,"['475977913', '475980794', '1317671157']"
44,62,3,58.69,"['475977913', '64813773']"
45,3,62,58.69,"['64813773', '475977913']"
46,3,1319,28.37,"['64813773', '1317670881']"
47,1319,3,28.37,"['1317670881', '64813773']"
48,1319,56,38.89,"['1317670881', '475977667']"
49,56,1319,38.89,"['475977667', '1317670881']"
50,56,44,163.99,"['475977667', '3356028134', '3356028133', '475974715']"
51,44,56,163.99,"['475974715', '3356028133', '3356028134', '475977667']"
52,44,16,235.18,"['475974715', '7114595671', '64813775', '6547379883', '93332110']"
53,16,44,235.18,"['93332110', '6547379883', '64813775', '7114595671', '475974715']"
54,16,17,13.81,"['93332110', '93332133']"
55,17,16,13.81,"['93332133', '93332110']"
56,17,276,221.57,"['93332133', '6547379881', '7114595667', '7114595666', '7114595665', '93325804', '639308641']"
57,276,17,221.57,"['639308641', '93325804', '7114595665', '7114595666', '7114595667', '6547379881', '93332133']"
58,276,472,123.37,"['639308641', '64813777', '639308685', '1316196954']"
59,472,276,123.37,"['1316196954', '639308685', '64813777', '639308641']"
60,472,515,50.1,"['1316196954', '1316198781']"
61,515,472,50.1,"['1316198781', '1316196954']"
62,515,527,29.93,"['1316198781', '1316198813']"
63,527,515,29.93,"['1316198813', '1316198781']"
64,527,289,41.13,"['1316198813', '624783861', '639308696']"
65,289,527,41.13,"['639308696', '624783861', '1316198813']"
66,289,274,92.16,"['639308696', '6035124548', '483098189', '639305947']"
67,274,289,92.16,"['639305947', '483098189', '6035124548', '639308696']"
68,274,140,182.28,"['639305947', '624783953', '624783995', '479297279']"
69,140,274,182.28,"['479297279', '624783995', '624783953', '639305947']"
70,140,272,17.15,"['479297279', '624783812']"
71,272,140,17.15,"['624783812', '479297279']"
72,1017,257,161.54,"['1316471992', '7113864501', '7113864502', '475978407', '602393470']"
73,257,1017,161.54,"['602393470', '475978407', '7113864502', '7113864501', '1316471992']"
74,230,15,228.38,"['599406636', '599406894', '93325948', '3356022885', '93338124', '93332051']"
75,15,230,228.38,"['93332051', '93338124', '3356022885', '93325948', '599406894', '599406636']"
76,15,16,7.48,"['93332051', '93332110']"
77,16,15,7.48,"['93332110', '93332051']"
78,16,233,206.44,"['93332110', '93337986', '3356022889', '599406980', '599406978']"
79,233,16,206.44,"['599406978', '599406980', '3356022889', '93337986', '93332110']"
80,233,235,101.43,"['599406978', '599407025']"
81,235,233,101.43,"['599407025', '599406978']"
82,235,1200,76.75,"['599407025', '1316623640']"
83,1200,235,76.75,"['1316623640', '599407025']"
84,1200,1176,26.19,"['1316623640', '1316623550']"
85,1176,1200,26.19,"['1316623550', '1316623640']"
86,1176,1162,14.42,"['1316623550', '1316623499']"
87,1162,1176,14.42,"['1316623499', '1316623550']"
88,1162,234,31.46,"['1316623499', '599407018']"
89,234,1162,31.46,"['599407018', '1316623499']"
90,234,2026,188.56,"['599407018', '1573781731', '599407014', '7682752532']"
91,2026,234,188.56,"['7682752532', '599407014', '1573781731', '599407018']"
92,2026,271,176.06,"['7682752532', '481433745', '845389542', '479284114', '624739122']"
93,271,2026,176.06,"['624739122', '479284114', '845389542', '481433745', '7682752532']"
94,271,315,23.65,"['624739122', '848690444']"
95,315,271,23.65,"['848690444', '624739122']"
96,315,236,123.48,"['848690444', '6975647434', '599408454']"
97,236,315,123.48,"['599408454', '6975647434', '848690444']"
98,236,122,82.62,"['599408454', '1889255117', '476792263']"
99,122,236,82.62,"['476792263', '1889255117', '599408454']"
100,13,17,104.25,"['93325983', '93325898', '3356022888', '93338003', '93332133']"
101,17,13,104.25,"['93332133', '93338003', '3356022888', '93325898', '93325983']"
102,17,14,8.54,"['93332133', '93332044']"
103,14,17,8.54,"['93332044', '93332133']"
104,14,295,85.98,"['93332044', '93338063', '3356022886', '639309886']"
105,295,14,85.98,"['639309886', '3356022886', '93338063', '93332044']"
106,295,292,52.55,"['639309886', '93325977', '639308707']"
107,292,295,52.55,"['639308707', '93325977', '639309886']"
108,292,745,26.88,"['639308707', '1316236955']"
109,745,292,26.88,"['1316236955', '639308707']"
110,745,549,43.84,"['1316236955', '1316236371']"
111,549,745,43.84,"['1316236371', '1316236955']"
112,549,81,19.62,"['1316236371', '476552806']"
113,81,549,19.62,"['476552806', '1316236371']"
114,81,973,19.0,"['476552806', '1316471903']"
115,973,81,19.0,"['1316471903', '476552806']"
116,973,536,32.96,"['1316471903', '1316236342']"
117,536,973,32.96,"['1316236342', '1316471903']"
118,536,232,127.07,"['1316236342', '4464345989', '6975647418', '599406834']"
119,232,536,127.07,"['599406834', '6975647418', '4464345989', '1316236342']"
120,18,2003,91.73,"['95612191', '483107387', '4397155843']"
121,2003,18,91.73,"['4397155843', '483107387', '95612191']"
122,2003,215,155.83,"['4397155843', '1807311604', '483103101']"
123,215,2003,155.83,"['483103101', '1807311604', '4397155843']"
124,215,243,144.27,"['483103101', '601145290']"
125,243,215,144.27,"['601145290', '483103101']"
126,243,6,16.83,"['601145290', '76482738']"
127,6,243,16.83,"['76482738', '601145290']"
128,273,301,54.37,"['639305926', '654397602']"
129,301,273,54.37,"['654397602', '639305926']"
130,301,19,134.04,"['654397602', '95679584']"
131,19,301,134.04,"['95679584', '654397602']"
132,326,10,136.79,"['857780858', '2049780811', '1572267371', '93310009']"
133,10,326,136.79,"['93310009', '1572267371', '2049780811', '857780858']"
134,10,22,92.59,"['93310009', '147477301']"
135,22,10,92.59,"['147477301', '93310009']"
136,22,241,73.54,"['147477301', '601145288']"
137,241,22,73.54,"['601145288', '147477301']"
138,241,11,14.06,"['601145288', '93310272']"
139,11,241,14.06,"['93310272', '601145288']"
140,7,41,177.66,"['76482739', '385114252']"
141,41,7,177.66,"['385114252', '76482739']"
142,147,2000,100.45,"['479322299', '4153722393']"
143,2000,147,100.45,"['4153722393', '479322299']"
144,12,86,20.11,"['93310875', '476554611']"
145,86,12,20.11,"['476554611', '93310875']"
146,86,935,28.79,"['476554611', '1316471849']"
147,935,86,28.79,"['1316471849', '476554611']"
148,935,911,130.99,"['1316471849', '3356028132', '3356028131', '1316471807']"
149,911,935,130.99,"['1316471807', '3356028131', '3356028132', '1316471849']"
150,911,57,13.31,"['1316471807', '475977669']"
151,57,911,13.31,"['475977669', '1316471807']"
152,57,1747,25.61,"['475977669', '1320104044']"
153,1747,57,25.61,"['1320104044', '475977669']"
154,1747,8,20.45,"['1320104044', '76482745']"
155,8,1747,20.45,"['76482745', '1320104044']"
156,27,201,110.05,"['152878638', '482733092']"
157,201,27,110.05,"['482733092', '152878638']"
158,201,26,97.61,"['482733092', '152878617']"
159,26,201,97.61,"['152878617', '482733092']"
160,23,315,349.5,"['152847559', '75355694', '479280255', '1315785553', '479280088', '4075546745', '1315785456', '845390852', '848690433', '848690442', '848690444']"
161,315,23,349.5,"['848690444', '848690442', '848690433', '845390852', '1315785456', '4075546745', '479280088', '1315785553', '479280255', '75355694', '152847559']"
162,315,40,410.14,"['848690444', '152847380', '479284103', '6975647431', '75355695', '479281346', '479282364', '479283382', '624739361', '848690687', '4075546743', '848690530', '1315785324', '848690690', '848690692', '848690693', '385113975']"
163,40,315,410.14,"['385113975', '848690693', '848690692', '848690690', '1315785324', '848690530', '4075546743', '848690687', '624739361', '479283382', '479282364', '479281346', '75355695', '6975647431', '479284103', '152847380', '848690444']"
164,128,131,240.77,"['477619297', '1315785335', '479293261', '1315785307', '479284692']"
165,131,128,240.77,"['479284692', '1315785307', '479293261', '1315785335', '477619297']"
166,131,386,91.3,"['479284692', '1315785615', '1315785370']"
167,386,131,91.3,"['1315785370', '1315785615', '479284692']"
168,386,40,65.44,"['1315785370', '385113975']"
169,40,386,65.44,"['385113975', '1315785370']"
170,31,204,44.74,"['385113763', '483098146']"
171,204,31,44.74,"['483098146', '385113763']"
172,204,722,72.87,"['483098146', '475976273', '1316236875']"
173,722,204,72.87,"['1316236875', '475976273', '483098146']"
174,722,167,69.12,"['1316236875', '475976274', '475976275', '481395518']"
175,167,722,69.12,"['481395518', '475976275', '475976274', '1316236875']"
176,167,495,70.07,"['481395518', '475976279', '1316197001']"
177,495,167,70.07,"['1316197001', '475976279', '481395518']"
178,495,162,35.48,"['1316197001', '475976282', '481391756']"
179,162,495,35.48,"['481391756', '475976282', '1316197001']"
180,162,50,172.76,"['481391756', '475976284', '481390910', '481390911', '481390912', '1316192095', '481390913', '475976289', '1316192114', '475976293', '1316192034', '475976301']"
181,50,162,172.76,"['475976301', '1316192034', '475976293', '1316192114', '475976289', '481390913', '1316192095', '481390912', '481390911', '481390910', '475976284', '481391756']"
182,50,30,130.0,"['475976301', '475976308', '475976313', '475976318', '385113562']"
183,30,50,130.0,"['385113562', '475976318', '475976313', '475976308', '475976301']"
184,38,1967,29.92,"['385113795', '1548518395']"
185,1967,38,29.92,"['1548518395', '385113795']"
186,1967,42,10.31,"['1548518395', '385114529']"
187,42,1967,10.31,"['385114529', '1548518395']"
188,42,1352,47.68,"['385114529', '1317670965']"
189,1352,42,47.68,"['1317670965', '385114529']"
190,1352,1507,73.67,"['1317670965', '1317670843', '1317671386']"
191,1507,1352,73.67,"['1317671386', '1317670843', '1317670965']"
192,1507,1354,111.95,"['1317671386', '385114454', '1317670969']"
193,1354,1507,111.95,"['1317670969', '385114454', '1317671386']"
194,1354,68,31.78,"['1317670969', '475978447']"
195,68,1354,31.78,"['475978447', '1317670969']"
196,68,1501,72.41,"['475978447', '1317671372']"
197,1501,68,72.41,"['1317671372', '475978447']"
198,1501,184,36.79,"['1317671372', '482729435']"
199,184,1501,36.79,"['482729435', '1317671372']"
200,184,77,86.93,"['482729435', '475982300', '475980598']"
201,77,184,86.93,"['475980598', '475982300', '482729435']"
202,77,259,29.04,"['475980598', '602393484']"
203,259,77,29.04,"['602393484', '475980598']"
204,259,1651,60.25,"['602393484', '475982002', '1320103881']"
205,1651,259,60.25,"['1320103881', '475982002', '602393484']"
206,1651,1779,15.12,"['1320103881', '1320104095']"
207,1779,1651,15.12,"['1320104095', '1320103881']"
208,1779,114,13.15,"['1320104095', '476560879']"
209,114,1779,13.15,"['476560879', '1320104095']"
210,114,2002,124.8,"['476560879', '385114438', '385114439', '4252530974']"
211,2002,114,124.8,"['4252530974', '385114439', '385114438', '476560879']"
212,2002,1611,17.04,"['4252530974', '1320103751']"
213,1611,2002,17.04,"['1320103751', '4252530974']"
214,1611,2001,234.17,"['1320103751', '1319204544', '385114441', '385114442', '385114443', '4198258583']"
215,2001,1611,234.17,"['4198258583', '385114443', '385114442', '385114441', '1319204544', '1320103751']"
216,2001,302,63.97,"['4198258583', '1548480976', '654400890']"
217,302,2001,63.97,"['654400890', '1548480976', '4198258583']"
218,302,105,97.41,"['654400890', '385114444', '7113864535', '476559359']"
219,105,302,97.41,"['476559359', '7113864535', '385114444', '654400890']"
220,105,1851,147.78,"['476559359', '385114445', '385114446', '7113864536', '385114447', '1324294551']"
221,1851,105,147.78,"['1324294551', '385114447', '7113864536', '385114446', '385114445', '476559359']"
222,1851,90,106.28,"['1324294551', '7113864537', '385114448', '476555419']"
223,90,1851,106.28,"['476555419', '385114448', '7113864537', '1324294551']"
224,90,85,271.5,"['476555419', '7113864539', '385114449', '1404037065', '385114450', '385114451', '7113864525', '476553962']"
225,85,90,271.5,"['476553962', '7113864525', '385114451', '385114450', '1404037065', '385114449', '7113864539', '476555419']"
226,85,82,10.57,"['476553962', '476553848']"
227,82,85,10.57,"['476553848', '476553962']"
228,82,1052,42.27,"['476553848', '7113864528', '1316472128']"
229,1052,82,42.27,"['1316472128', '7113864528', '476553848']"
230,1052,959,37.66,"['1316472128', '1316471884']"
231,959,1052,37.66,"['1316471884', '1316472128']"
232,959,111,43.71,"['1316471884', '476559990']"
233,111,959,43.71,"['476559990', '1316471884']"
234,111,175,107.15,"['476559990', '385114245', '481498557']"
235,175,111,107.15,"['481498557', '385114245', '476559990']"
236,175,1926,43.52,"['481498557', '385114246', '1404036994']"
237,1926,175,43.52,"['1404036994', '385114246', '481498557']"
238,1926,102,64.56,"['1404036994', '385114247', '7113864520', '476558313']"
239,102,1926,64.56,"['476558313', '7113864520', '385114247', '1404036994']"
240,102,99,254.2,"['476558313', '7113864519', '1563370151', '385114248', '385114249', '476556645']"
241,99,102,254.2,"['476556645', '385114249', '385114248', '1563370151', '7113864519', '476558313']"
242,99,273,125.37,"['476556645', '385114250', '639305926']"
243,273,99,125.37,"['639305926', '385114250', '476556645']"
244,273,41,136.43,"['639305926', '385114251', '385114252']"
245,41,273,136.43,"['385114252', '385114251', '639305926']"
246,41,113,135.15,"['385114252', '476560812', '476560259']"
247,113,41,135.15,"['476560259', '476560812', '385114252']"
248,113,274,16.27,"['476560259', '639305947']"
249,274,113,16.27,"['639305947', '476560259']"
250,274,198,197.48,"['639305947', '385113967', '385113968', '385113969', '482732943']"
251,198,274,197.48,"['482732943', '385113969', '385113968', '385113967', '639305947']"
252,198,31,94.82,"['482732943', '385113763']"
253,31,198,94.82,"['385113763', '482732943']"
254,38,25,179.7,"['385113795', '75354589', '5070865547', '481387832', '152848312']"
255,25,38,179.7,"['152848312', '481387832', '5070865547', '75354589', '385113795']"
256,25,28,339.37,"['152848312', '1548537346', '75354590', '152848344', '475974959', '75355689', '1548537347', '481384546', '1548537435', '7113798208', '75355690', '1548537303', '210643104']"
257,28,25,339.37,"['210643104', '1548537303', '75355690', '7113798208', '1548537435', '481384546', '1548537347', '75355689', '475974959', '152848344', '75354590', '1548537346', '152848312']"
258,31,2006,77.61,"['385113763', '4705342936']"
259,2006,31,77.61,"['4705342936', '385113763']"
260,2006,415,53.65,"['4705342936', '1315785490']"
261,415,2006,53.65,"['1315785490', '4705342936']"
262,415,43,70.38,"['1315785490', '385114569']"
263,43,415,70.38,"['385114569', '1315785490']"
264,43,247,13.32,"['385114569', '601145319']"
265,247,43,13.32,"['601145319', '385114569']"
266,47,1141,59.15,"['475975347', '1316623423']"
267,1141,47,59.15,"['1316623423', '475975347']"
268,1141,48,54.33,"['1316623423', '475975640']"
269,48,1141,54.33,"['475975640', '1316623423']"
270,48,46,31.48,"['475975640', '475975342']"
271,46,48,31.48,"['475975342', '475975640']"
272,46,1149,31.55,"['475975342', '1316623456']"
273,1149,46,31.55,"['1316623456', '475975342']"
274,1149,1196,14.86,"['1316623456', '1316623630']"
275,1196,1149,14.86,"['1316623630', '1316623456']"
276,1196,1135,12.97,"['1316623630', '1316623408']"
277,1135,1196,12.97,"['1316623408', '1316623630']"
278,1135,155,23.8,"['1316623408', '481390471']"
279,155,1135,23.8,"['481390471', '1316623408']"
280,155,1155,15.29,"['481390471', '1316623482']"
281,1155,155,15.29,"['1316623482', '481390471']"
282,1155,1096,23.25,"['1316623482', '1316623251']"
283,1096,1155,23.25,"['1316623251', '1316623482']"
284,1096,1179,7.59,"['1316623251', '1316623556']"
285,1179,1096,7.59,"['1316623556', '1316623251']"
286,1179,1100,8.68,"['1316623556', '1316623264']"
287,1100,1179,8.68,"['1316623264', '1316623556']"
288,1100,1154,25.15,"['1316623264', '1316623476']"
289,1154,1100,25.15,"['1316623476', '1316623264']"
290,1154,1088,5.28,"['1316623476', '1316623193']"
291,1088,1154,5.28,"['1316623193', '1316623476']"
292,1088,1101,11.97,"['1316623193', '1316623266']"
293,1101,1088,11.97,"['1316623266', '1316623193']"
294,1101,45,26.71,"['1316623266', '475975057']"
295,45,1101,26.71,"['475975057', '1316623266']"
296,166,172,127.17,"['481394996', '1315785481', '481433742']"
297,172,166,127.17,"['481433742', '1315785481', '481394996']"
298,48,1214,39.31,"['475975640', '1316623694']"
299,1214,48,39.31,"['1316623694', '475975640']"
300,1214,1094,21.34,"['1316623694', '1316623230']"
301,1094,1214,21.34,"['1316623230', '1316623694']"
302,1094,1152,32.92,"['1316623230', '1316623472']"
303,1152,1094,32.92,"['1316623472', '1316623230']"
304,1152,49,33.48,"['1316623472', '475975643']"
305,49,1152,33.48,"['475975643', '1316623472']"
306,53,1260,81.58,"['475977438', '1316694037']"
307,1260,53,81.58,"['1316694037', '475977438']"
308,1260,1435,22.91,"['1316694037', '475977445', '1317671186']"
309,1435,1260,22.91,"['1317671186', '475977445', '1316694037']"
310,1435,1502,18.84,"['1317671186', '1317671375']"
311,1502,1435,18.84,"['1317671375', '1317671186']"
312,1502,51,61.59,"['1317671375', '475977454', '475976364']"
313,51,1502,61.59,"['475976364', '475977454', '1317671375']"
314,51,1372,79.77,"['475976364', '475976996', '1317671028']"
315,1372,51,79.77,"['1317671028', '475976996', '475976364']"
316,1372,1997,20.4,"['1317671028', '3758885817']"
317,1997,1372,20.4,"['3758885817', '1317671028']"
318,1997,1979,126.09,"['3758885817', '2969936436']"
319,1979,1997,126.09,"['2969936436', '3758885817']"
320,1979,233,97.68,"['2969936436', '599406978']"
321,233,1979,97.68,"['599406978', '2969936436']"
322,233,52,12.45,"['599406978', '475977000']"
323,52,233,12.45,"['475977000', '599406978']"
324,54,1382,10.54,"['475977497', '1317671049']"
325,1382,54,10.54,"['1317671049', '475977497']"
326,1382,55,28.33,"['1317671049', '475977519']"
327,55,1382,28.33,"['475977519', '1317671049']"
328,55,1357,38.01,"['475977519', '1317670979']"
329,1357,55,38.01,"['1317670979', '475977519']"
330,1357,1525,19.81,"['1317670979', '1317671434']"
331,1525,1357,19.81,"['1317671434', '1317670979']"
332,1525,1449,16.78,"['1317671434', '1317671223']"
333,1449,1525,16.78,"['1317671223', '1317671434']"
334,1449,53,4.34,"['1317671223', '475977438']"
335,53,1449,4.34,"['475977438', '1317671223']"
336,53,1255,13.98,"['475977438', '1316694030']"
337,1255,53,13.98,"['1316694030', '475977438']"
338,1255,1238,9.07,"['1316694030', '1316694003']"
339,1238,1255,9.07,"['1316694003', '1316694030']"
340,1238,1248,69.9,"['1316694003', '1316694018']"
341,1248,1238,69.9,"['1316694018', '1316694003']"
342,1248,1326,6.16,"['1316694018', '1317670896']"
343,1326,1248,6.16,"['1317670896', '1316694018']"
344,1326,1305,12.21,"['1317670896', '1317670846']"
345,1305,1326,12.21,"['1317670846', '1317670896']"
346,1305,1410,11.23,"['1317670846', '1317671121']"
347,1410,1305,11.23,"['1317671121', '1317670846']"
348,1410,59,47.06,"['1317671121', '475977663', '475977686']"
349,59,1410,47.06,"['475977686', '475977663', '1317671121']"
350,59,1473,18.16,"['475977686', '1317671298']"
351,1473,59,18.16,"['1317671298', '475977686']"
352,1473,1484,24.42,"['1317671298', '1317671333']"
353,1484,1473,24.42,"['1317671333', '1317671298']"
354,1484,1523,20.35,"['1317671333', '1317671424']"
355,1523,1484,20.35,"['1317671424', '1317671333']"
356,1523,56,43.78,"['1317671424', '475977664', '475977667']"
357,56,1523,43.78,"['475977667', '475977664', '1317671424']"
358,58,1273,37.91,"['475977684', '1316694062']"
359,1273,58,37.91,"['1316694062', '475977684']"
360,1273,1373,34.16,"['1316694062', '1317671031']"
361,1373,1273,34.16,"['1317671031', '1316694062']"
362,1373,1413,1.97,"['1317671031', '1317671125']"
363,1413,1373,1.97,"['1317671125', '1317671031']"
364,1413,1244,22.69,"['1317671125', '1316694013']"
365,1244,1413,22.69,"['1316694013', '1317671125']"
366,1244,1482,26.9,"['1316694013', '1317671325']"
367,1482,1244,26.9,"['1317671325', '1316694013']"
368,1482,1271,27.33,"['1317671325', '1316694059']"
369,1271,1482,27.33,"['1316694059', '1317671325']"
370,1271,59,13.73,"['1316694059', '475977686']"
371,59,1271,13.73,"['475977686', '1316694059']"
372,59,1458,39.88,"['475977686', '1317671254']"
373,1458,59,39.88,"['1317671254', '475977686']"
374,1458,1241,7.9,"['1317671254', '1316694010']"
375,1241,1458,7.9,"['1316694010', '1317671254']"
376,1241,1269,30.64,"['1316694010', '1316694056']"
377,1269,1241,30.64,"['1316694056', '1316694010']"
378,1269,1358,9.1,"['1316694056', '1317670980']"
379,1358,1269,9.1,"['1317670980', '1316694056']"
380,1358,1281,7.17,"['1317670980', '1317670757']"
381,1281,1358,7.17,"['1317670757', '1317670980']"
382,1281,60,40.41,"['1317670757', '475977736']"
383,60,1281,40.41,"['475977736', '1317670757']"
384,60,1497,75.45,"['475977736', '1317671359']"
385,1497,60,75.45,"['1317671359', '475977736']"
386,1497,1392,47.71,"['1317671359', '1317671073']"
387,1392,1497,47.71,"['1317671073', '1317671359']"
388,1392,61,51.71,"['1317671073', '475977737']"
389,61,1392,51.71,"['475977737', '1317671073']"
390,153,1459,20.48,"['481390039', '475978398', '1317671256']"
391,1459,153,20.48,"['1317671256', '475978398', '481390039']"
392,1459,1451,18.79,"['1317671256', '1317671227']"
