id,oneway,category,nodes
0,False,tertiary,"['601663327', '601662226']"
1,False,tertiary,"['601662226', '601663327']"
2,False,tertiary,"['601662226', '7028570215', '479299194', '7028570211', '479299959', '1572286483', '1503769908', '1572286482', '71127148', '479302935', '2049780847', '479302313']"
3,False,tertiary,"['479302313', '2049780847', '479302935', '71127148', '1572286482', '1503769908', '1572286483', '479299959', '7028570211', '479299194', '7028570215', '601662226']"
4,True,secondary,"['602393469', '602393485', '602393486', '602392044', '68572881', '1580625976', '64813767', '475978752', '64813768', '64813769', '475980801']"
5,True,secondary,"['475980801', '64813769', '64813768', '475978752', '64813767', '1580625976', '68572881', '602392044', '602393486', '602393485', '602393469']"
6,False,secondary,"['7114684949', '2049780868', '2049780845', '85010431', '2049780804', '1572270954', '479302873', '486131798', '3113807404', '85010762', '479298745', '479300368', '479299222']"
7,False,secondary,"['479299222', '479300368', '479298745', '85010762', '3113807404', '486131798', '479302873', '1572270954', '2049780804', '85010431', '2049780845', '2049780868', '7114684949']"
8,False,secondary,"['479299222', '7028570218', '601145315']"
9,False,secondary,"['601145315', '7028570218', '479299222']"
10,False,secondary,"['601145315', '152878617']"
11,False,secondary,"['152878617', '601145315']"
12,True,secondary,"['624783812', '482732933']"
13,True,secondary,"['482732933', '624783812']"
14,True,secondary,"['482732933', '476560638', '481438664', '476560259']"
15,True,secondary,"['476560259', '481438664', '476560638', '482732933']"
16,True,secondary,"['476560259', '76482741', '483098199']"
17,True,secondary,"['483098199', '76482741', '476560259']"
18,True,secondary,"['483098199', '483091135']"
19,True,secondary,"['483091135', '483098199']"
20,True,secondary,"['483091135', '1573781794', '1316236413']"
21,True,secondary,"['1316236413', '1573781794', '483091135']"
22,True,secondary,"['1316236413', '93310707', '7113840960']"
23,True,secondary,"['7113840960', '93310707', '1316236413']"
24,True,secondary,"['7113840960', '639308668']"
25,True,secondary,"['639308668', '7113840960']"
26,True,secondary,"['639308668', '93310725', '6547379877', '7114595663', '7114595664', '6547379878', '7114595669']"
27,True,secondary,"['7114595669', '6547379878', '7114595664', '7114595663', '6547379877', '93310725', '639308668']"
28,True,secondary,"['7114595669', '7114595670', '93332044']"
29,True,secondary,"['93332044', '7114595670', '7114595669']"
30,True,secondary,"['93332044', '93332051']"
31,True,secondary,"['93332051', '93332044']"
32,True,secondary,"['93332051', '6547379882', '475974091', '93310875']"
33,True,secondary,"['93310875', '475974091', '6547379882', '93332051']"
34,True,secondary,"['64813770', '1317671123']"
35,True,secondary,"['1317671123', '64813770']"
36,True,secondary,"['1317671123', '475978939']"
37,True,secondary,"['475978939', '1317671123']"
38,True,secondary,"['475978939', '64813772']"
39,True,secondary,"['64813772', '475978939']"
40,True,secondary,"['64813772', '7113864509', '1317671157']"
41,True,secondary,"['1317671157', '7113864509', '64813772']"
42,True,secondary,"['1317671157', '475980794', '475977913']"
43,True,secondary,"['475977913', '475980794', '1317671157']"
44,True,secondary,"['475977913', '64813773']"
45,True,secondary,"['64813773', '475977913']"
46,True,secondary,"['64813773', '1317670881']"
47,True,secondary,"['1317670881', '64813773']"
48,True,secondary,"['1317670881', '475977667']"
49,True,secondary,"['475977667', '1317670881']"
50,True,secondary,"['475977667', '3356028134', '3356028133', '475974715']"
51,True,secondary,"['475974715', '3356028133', '3356028134', '475977667']"
52,True,secondary,"['475974715', '7114595671', '64813775', '6547379883', '93332110']"
53,True,secondary,"['93332110', '6547379883', '64813775', '7114595671', '475974715']"
54,True,secondary,"['93332110', '93332133']"
55,True,secondary,"['93332133', '93332110']"
56,True,secondary,"['93332133', '6547379881', '7114595667', '7114595666', '7114595665', '93325804', '639308641']"
57,True,secondary,"['639308641', '93325804', '7114595665', '7114595666', '7114595667', '6547379881', '93332133']"
58,True,secondary,"['639308641', '64813777', '639308685', '1316196954']"
59,True,secondary,"['1316196954', '639308685', '64813777', '639308641']"
60,True,secondary,"['1316196954', '1316198781']"
61,True,secondary,"['1316198781', '1316196954']"
62,True,secondary,"['1316198781', '1316198813']"
63,True,secondary,"['1316198813', '1316198781']"
64,True,secondary,"['1316198813', '624783861', '639308696']"
65,True,secondary,"['639308696', '624783861', '1316198813']"
66,True,secondary,"['639308696', '6035124548', '483098189', '639305947']"
67,True,secondary,"['639305947', '483098189', '6035124548', '639308696']"
68,True,secondary,"['639305947', '624783953', '624783995', '479297279']"
69,True,secondary,"['479297279', '624783995', '624783953', '639305947']"
70,True,secondary,"['479297279', '624783812']"
71,True,secondary,"['624783812', '479297279']"
72,True,secondary,"['1316471992', '7113864501', '7113864502', '475978407', '602393470']"
73,True,secondary,"['602393470', '475978407', '7113864502', '7113864501', '1316471992']"
74,True,secondary,"['599406636', '599406894', '93325948', '3356022885', '93338124', '93332051']"
75,True,secondary,"['93332051', '93338124', '3356022885', '93325948', '599406894', '599406636']"
76,True,secondary,"['93332051', '93332110']"
77,True,secondary,"['93332110', '93332051']"
78,True,secondary,"['93332110', '93337986', '3356022889', '599406980', '599406978']"
79,True,secondary,"['599406978', '599406980', '3356022889', '93337986', '93332110']"
80,True,secondary,"['599406978', '599407025']"
81,True,secondary,"['599407025', '599406978']"
82,True,secondary,"['599407025', '1316623640']"
83,True,secondary,"['1316623640', '599407025']"
84,True,secondary,"['1316623640', '1316623550']"
85,True,secondary,"['1316623550', '1316623640']"
86,True,secondary,"['1316623550', '1316623499']"
87,True,secondary,"['1316623499', '1316623550']"
88,True,secondary,"['1316623499', '599407018']"
89,True,secondary,"['599407018', '1316623499']"
90,True,secondary,"['599407018', '1573781731', '599407014', '7682752532']"
