id,from,to,cost,nodes
0,601663327,601662226,13.95,"['601663327', '601662226']"
1,601662226,601663327,13.95,"['601662226', '601663327']"
2,601662226,479302313,504.72,"['601662226', '7028570215', '479299194', '7028570211', '479299959', '1572286483', '1503769908', '1572286482', '71127148', '479302935', '2049780847', '479302313']"
3,479302313,601662226,504.72,"['479302313', '2049780847', '479302935', '71127148', '1572286482', '1503769908', '1572286483', '479299959', '7028570211', '479299194', '7028570215', '601662226']"
4,602393469,475980801,2309.49,"['602393469', '602393485', '602393486', '602392044', '68572881', '1580625976', '64813767', '475978752', '64813768', '64813769', '475980801']"
5,475980801,602393469,2309.49,"['475980801', '64813769', '64813768', '475978752', '64813767', '1580625976', '68572881', '602392044', '602393486', '602393485', '602393469']"
6,7114684949,479299222,669.9,"['7114684949', '2049780868', '2049780845', '85010431', '2049780804', '1572270954', '479302873', '486131798', '3113807404', '85010762', '479298745', '479300368', '479299222']"
7,479299222,7114684949,669.9,"['479299222', '479300368', '479298745', '85010762', '3113807404', '486131798', '479302873', '1572270954', '2049780804', '85010431', '2049780845', '2049780868', '7114684949']"
8,479299222,601145315,70.12,"['479299222', '7028570218', '601145315']"
9,601145315,479299222,70.12,"['601145315', '7028570218', '479299222']"
10,601145315,152878617,14.54,"['601145315', '152878617']"
11,152878617,601145315,14.54,"['152878617', '601145315']"
12,624783812,482732933,20.3,"['624783812', '482732933']"
13,482732933,624783812,20.3,"['482732933', '624783812']"
14,482732933,476560259,185.24,"['482732933', '476560638', '481438664', '476560259']"
15,476560259,482732933,185.24,"['476560259', '481438664', '476560638', '482732933']"
16,476560259,483098199,32.11,"['476560259', '76482741', '483098199']"
17,483098199,476560259,32.11,"['483098199', '76482741', '476560259']"
18,483098199,483091135,61.91,"['483098199', '483091135']"
19,483091135,483098199,61.91,"['483091135', '483098199']"
20,483091135,1316236413,121.02,"['483091135', '1573781794', '1316236413']"
21,1316236413,483091135,121.02,"['1316236413', '1573781794', '483091135']"
22,1316236413,7113840960,39.74,"['1316236413', '93310707', '7113840960']"
23,7113840960,1316236413,39.74,"['7113840960', '93310707', '1316236413']"
24,7113840960,639308668,83.77,"['7113840960', '639308668']"
25,639308668,7113840960,83.77,"['639308668', '7113840960']"
26,639308668,7114595669,179.7,"['639308668', '93310725', '6547379877', '7114595663', '7114595664', '6547379878', '7114595669']"
27,7114595669,639308668,179.7,"['7114595669', '6547379878', '7114595664', '7114595663', '6547379877', '93310725', '639308668']"
28,7114595669,93332044,40.11,"['7114595669', '7114595670', '93332044']"
29,93332044,7114595669,40.11,"['93332044', '7114595670', '7114595669']"
30,93332044,93332051,12.38,"['93332044', '93332051']"
31,93332051,93332044,12.38,"['93332051', '93332044']"
32,93332051,93310875,205.42,"['93332051', '6547379882', '475974091', '93310875']"
33,93310875,93332051,205.42,"['93310875', '475974091', '6547379882', '93332051']"
34,64813770,1317671123,25.94,"['64813770', '1317671123']"
35,1317671123,64813770,25.94,"['1317671123', '64813770']"
36,1317671123,475978939,38.66,"['1317671123', '475978939']"
37,475978939,1317671123,38.66,"['475978939', '1317671123']"
38,475978939,64813772,44.48,"['475978939', '64813772']"
39,64813772,475978939,44.48,"['64813772', '475978939']"
40,64813772,1317671157,75.06,"['64813772', '7113864509', '1317671157']"
41,1317671157,64813772,75.06,"['1317671157', '7113864509', '64813772']"
42,1317671157,475977913,70.52,"['1317671157', '475980794', '475977913']"
43,475977913,1317671157,70.52,"['475977913', '475980794', '1317671157']"
44,475977913,64813773,58.69,"['475977913', '64813773']"
45,64813773,475977913,58.69,"['64813773', '475977913']"
46,64813773,1317670881,28.37,"['64813773', '1317670881']"
47,1317670881,64813773,28.37,"['1317670881', '64813773']"
48,1317670881,475977667,38.89,"['1317670881', '475977667']"
49,475977667,1317670881,38.89,"['475977667', '1317670881']"
50,475977667,475974715,163.99,"['475977667', '3356028134', '3356028133', '475974715']"
51,475974715,475977667,163.99,"['475974715', '3356028133', '3356028134', '475977667']"
52,475974715,93332110,235.18,"['475974715', '7114595671', '64813775', '6547379883', '93332110']"
53,93332110,475974715,235.18,"['93332110', '6547379883', '64813775', '7114595671', '475974715']"
54,93332110,93332133,13.81,"['93332110', '93332133']"
55,93332133,93332110,13.81,"['93332133', '93332110']"
56,93332133,639308641,221.57,"['93332133', '6547379881', '7114595667', '7114595666', '7114595665', '93325804', '639308641']"
57,639308641,93332133,221.57,"['639308641', '93325804', '7114595665', '7114595666', '7114595667', '6547379881', '93332133']"
58,639308641,1316196954,123.37,"['639308641', '64813777', '639308685', '1316196954']"
59,1316196954,639308641,123.37,"['1316196954', '639308685', '64813777', '639308641']"
60,1316196954,1316198781,50.1,"['1316196954', '1316198781']"
61,1316198781,1316196954,50.1,"['1316198781', '1316196954']"
62,1316198781,1316198813,29.93,"['1316198781', '1316198813']"
63,1316198813,1316198781,29.93,"['1316198813', '1316198781']"
64,1316198813,639308696,41.13,"['1316198813', '624783861', '639308696']"
65,639308696,1316198813,41.13,"['639308696', '624783861', '1316198813']"
66,639308696,639305947,92.16,"['639308696', '6035124548', '483098189', '639305947']"
67,639305947,639308696,92.16,"['639305947', '483098189', '6035124548', '639308696']"
68,639305947,479297279,182.28,"['639305947', '624783953', '624783995', '479297279']"
69,479297279,639305947,182.28,"['479297279', '624783995', '624783953', '639305947']"
70,479297279,624783812,17.15,"['479297279', '624783812']"
71,624783812,479297279,17.15,"['624783812', '479297279']"
72,1316471992,602393470,161.54,"['1316471992', '7113864501', '7113864502', '475978407', '602393470']"
73,602393470,1316471992,161.54,"['602393470', '475978407', '7113864502', '7113864501', '1316471992']"
74,599406636,93332051,228.38,"['599406636', '599406894', '93325948', '3356022885', '93338124', '93332051']"
