,source,target,R,opt_path,opt_travel_time
0,229,1840,4839.9000000000015,"[229, 220, 18, 218, 327, 216, 213, 214, 239, 141, 263, 187, 1963, 1964, 266, 125, 83, 84, 268, 92, 119, 118, 1823, 1831, 1915, 1878, 1875, 1818, 1888, 1879, 1906, 1870, 1864, 1868, 1840]",303.58751646675876
1,1917,229,4971.09,"[1917, 1884, 1913, 121, 1823, 118, 119, 269, 123, 124, 112, 1806, 1910, 191, 266, 1964, 1963, 187, 263, 141, 142, 238, 213, 216, 327, 218, 18, 220, 229]",263.0746506161502
2,1884,0,8287.574999999999,"[1884, 1913, 121, 1823, 118, 119, 269, 123, 124, 112, 1806, 1910, 191, 188, 264, 142, 238, 213, 216, 327, 218, 18, 220, 325, 0]",672.7881767269403
3,1840,229,4839.900000000001,"[1840, 1868, 1832, 1906, 1879, 1888, 1818, 1875, 1878, 1915, 1831, 1855, 118, 119, 269, 268, 84, 83, 125, 266, 1964, 1963, 187, 263, 141, 142, 190, 195, 237, 243, 6, 19, 7, 248, 1973, 224, 223, 2004, 220, 229]",293.99835049680985
4,1444,311,4576.785,"[1444, 1423, 1475, 1383, 1408, 1522, 1426, 1311, 1487, 44, 16, 15, 14, 295, 292, 745, 549, 81, 973, 536, 232, 684, 631, 306, 815, 775, 231, 82, 181, 124, 83, 125, 266, 311]",205.3909692207047
5,0,1363,7854.630000000001,"[0, 325, 129, 4, 272, 197, 113, 206, 203, 567, 2023, 280, 2005, 535, 282, 281, 914, 12, 86, 935, 911, 57, 1747, 8, 1017, 869, 1042, 995, 73, 956, 95, 259, 77, 184, 1501, 68, 1354, 1507, 1352, 42, 1967, 38, 37, 1363]",426.86232260444905
6,229,1292,4617.75,"[229, 220, 2004, 223, 129, 4, 272, 197, 113, 274, 289, 498, 514, 527, 515, 472, 276, 275, 278, 277, 44, 56, 1523, 1484, 1473, 59, 1458, 1241, 1429, 1306, 1447, 1304, 1406, 1293, 1324, 1280, 1409, 1346, 1345, 1391, 1292]",328.32186803439885
7,1461,229,4554.675,"[1461, 1340, 1425, 1431, 1496, 1406, 1514, 1489, 1414, 1281, 1358, 1334, 1526, 1322, 1465, 1479, 1319, 56, 44, 16, 17, 276, 472, 515, 527, 289, 274, 113, 197, 272, 4, 129, 325, 220, 229]",244.34267775477207
8,1503,311,4975.755,"[1503, 1367, 1412, 1280, 1324, 1293, 1406, 1514, 1489, 1414, 1281, 1358, 1334, 1526, 1322, 1465, 1479, 1319, 56, 44, 16, 15, 14, 295, 292, 745, 549, 81, 973, 536, 232, 684, 631, 306, 815, 775, 231, 82, 181, 124, 83, 125, 266, 311]",232.69006880407596
9,214,1139,4118.52,"[214, 239, 238, 142, 264, 188, 191, 1910, 1806, 112, 124, 181, 82, 85, 90, 1851, 105, 302, 2001, 1611, 2002, 114, 1779, 1651, 259, 77, 184, 1501, 68, 1354, 1507, 1352, 42, 1967, 38, 37, 1363, 1147, 1139]",226.79966079199357
