,source,target,resource
0,251.0,250.0,1.0044
1,250.0,251.0,1.0044
2,250.0,145.0,36.33984
3,145.0,250.0,36.33984
4,256.0,78.0,166.28328
5,78.0,256.0,166.28328
6,2025.0,144.0,48.2328
7,144.0,2025.0,48.2328
8,144.0,244.0,5.04864
9,244.0,144.0,5.04864
10,244.0,26.0,1.0468799999999998
11,26.0,244.0,1.0468799999999998
12,272.0,197.0,1.4616
13,197.0,272.0,1.4616
14,197.0,113.0,13.33728
15,113.0,197.0,13.33728
16,113.0,206.0,2.3119199999999998
17,206.0,113.0,2.3119199999999998
18,206.0,203.0,4.45752
19,203.0,206.0,4.45752
20,203.0,567.0,8.71344
21,567.0,203.0,8.71344
22,567.0,2023.0,2.8612800000000003
23,2023.0,567.0,2.8612800000000003
24,2023.0,280.0,6.03144
25,280.0,2023.0,6.03144
26,280.0,2024.0,12.9384
27,2024.0,280.0,12.9384
28,2024.0,14.0,2.88792
29,14.0,2024.0,2.88792
30,14.0,15.0,0.89136
31,15.0,14.0,0.89136
32,15.0,12.0,14.790239999999999
33,12.0,15.0,14.790239999999999
34,1.0,1411.0,1.86768
35,1411.0,1.0,1.86768
36,1411.0,71.0,2.7835199999999998
37,71.0,1411.0,2.7835199999999998
38,71.0,2.0,3.2025599999999996
39,2.0,71.0,3.2025599999999996
40,2.0,1422.0,5.40432
41,1422.0,2.0,5.40432
42,1422.0,62.0,5.077439999999999
43,62.0,1422.0,5.077439999999999
44,62.0,3.0,4.22568
45,3.0,62.0,4.22568
46,3.0,1319.0,2.04264
47,1319.0,3.0,2.04264
48,1319.0,56.0,2.80008
49,56.0,1319.0,2.80008
50,56.0,44.0,11.80728
51,44.0,56.0,11.80728
52,44.0,16.0,16.93296
53,16.0,44.0,16.93296
54,16.0,17.0,0.99432
55,17.0,16.0,0.99432
56,17.0,276.0,15.95304
57,276.0,17.0,15.95304
58,276.0,472.0,8.88264
59,472.0,276.0,8.88264
60,472.0,515.0,3.6072
61,515.0,472.0,3.6072
62,515.0,527.0,2.15496
63,527.0,515.0,2.15496
64,527.0,289.0,2.96136
65,289.0,527.0,2.96136
66,289.0,274.0,6.63552
67,274.0,289.0,6.63552
68,274.0,140.0,13.12416
69,140.0,274.0,13.12416
70,140.0,272.0,1.2348
71,272.0,140.0,1.2348
72,1017.0,257.0,11.63088
73,257.0,1017.0,11.63088
74,230.0,15.0,16.44336
75,15.0,230.0,16.44336
76,15.0,16.0,0.53856
77,16.0,15.0,0.53856
78,16.0,233.0,14.863679999999999
79,233.0,16.0,14.863679999999999
80,233.0,235.0,7.302960000000001
81,235.0,233.0,7.302960000000001
82,235.0,1200.0,5.526
83,1200.0,235.0,5.526
84,1200.0,1176.0,1.88568
85,1176.0,1200.0,1.88568
86,1176.0,1162.0,1.03824
87,1162.0,1176.0,1.03824
88,1162.0,234.0,2.26512
89,234.0,1162.0,2.26512
90,234.0,2026.0,13.576319999999999
91,2026.0,234.0,13.576319999999999
92,2026.0,271.0,12.67632
93,271.0,2026.0,12.67632
94,271.0,315.0,1.7027999999999999
95,315.0,271.0,1.7027999999999999
96,315.0,236.0,8.89056
97,236.0,315.0,8.89056
98,236.0,122.0,5.94864
99,122.0,236.0,5.94864
100,13.0,17.0,7.506
101,17.0,13.0,7.506
102,17.0,14.0,0.6148799999999999
103,14.0,17.0,0.6148799999999999
104,14.0,295.0,6.1905600000000005
105,295.0,14.0,6.1905600000000005
106,295.0,292.0,3.7836
107,292.0,295.0,3.7836
108,292.0,745.0,1.93536
109,745.0,292.0,1.93536
110,745.0,549.0,3.15648
111,549.0,745.0,3.15648
112,549.0,81.0,1.4126400000000001
113,81.0,549.0,1.4126400000000001
114,81.0,973.0,1.3679999999999999
115,973.0,81.0,1.3679999999999999
116,973.0,536.0,2.37312
117,536.0,973.0,2.37312
118,536.0,232.0,9.14904
119,232.0,536.0,9.14904
120,18.0,2003.0,6.60456
121,2003.0,18.0,6.60456
122,2003.0,215.0,11.21976
123,215.0,2003.0,11.21976
124,215.0,243.0,10.38744
125,243.0,215.0,10.38744
126,243.0,6.0,1.21176
127,6.0,243.0,1.21176
128,273.0,301.0,6.524399999999999
129,301.0,273.0,6.524399999999999
130,301.0,19.0,16.084799999999998
131,19.0,301.0,16.084799999999998
132,326.0,10.0,16.4148
133,10.0,326.0,16.4148
134,10.0,22.0,11.1108
135,22.0,10.0,11.1108
136,22.0,241.0,8.8248
137,241.0,22.0,8.8248
138,241.0,11.0,1.6872
139,11.0,241.0,1.6872
140,7.0,41.0,21.3192
141,41.0,7.0,21.3192
142,147.0,2000.0,12.054
143,2000.0,147.0,12.054
144,12.0,86.0,1.4479199999999999
145,86.0,12.0,1.4479199999999999
146,86.0,935.0,2.07288
147,935.0,86.0,2.07288
148,935.0,911.0,9.431280000000001
149,911.0,935.0,9.431280000000001
150,911.0,57.0,0.9583200000000001
151,57.0,911.0,0.9583200000000001
152,57.0,1747.0,1.84392
153,1747.0,57.0,1.84392
154,1747.0,8.0,1.4724
155,8.0,1747.0,1.4724
156,27.0,201.0,7.9235999999999995
157,201.0,27.0,7.9235999999999995
158,201.0,26.0,7.02792
159,26.0,201.0,7.02792
160,23.0,315.0,25.163999999999998
161,315.0,23.0,25.163999999999998
162,315.0,40.0,29.530079999999998
163,40.0,315.0,29.530079999999998
164,128.0,131.0,17.335440000000002
165,131.0,128.0,17.335440000000002
166,131.0,386.0,6.5736
167,386.0,131.0,6.5736
168,386.0,40.0,4.711679999999999
169,40.0,386.0,4.711679999999999
170,31.0,204.0,5.3688
171,204.0,31.0,5.3688
172,204.0,722.0,8.7444
173,722.0,204.0,8.7444
174,722.0,167.0,8.2944
175,167.0,722.0,8.2944
176,167.0,495.0,8.408399999999999
177,495.0,167.0,8.408399999999999
178,495.0,162.0,4.257599999999999
179,162.0,495.0,4.257599999999999
180,162.0,50.0,20.731199999999998
181,50.0,162.0,20.731199999999998
182,50.0,30.0,15.6
183,30.0,50.0,15.6
184,38.0,1967.0,2.15424
185,1967.0,38.0,2.15424
186,1967.0,42.0,0.74232
187,42.0,1967.0,0.74232
188,42.0,1352.0,3.43296
189,1352.0,42.0,3.43296
190,1352.0,1507.0,5.30424
191,1507.0,1352.0,5.30424
192,1507.0,1354.0,8.0604
193,1354.0,1507.0,8.0604
194,1354.0,68.0,2.28816
195,68.0,1354.0,2.28816
196,68.0,1501.0,5.21352
197,1501.0,68.0,5.21352
