,id,from,to,resource,nodes
0,0,1038,1046,10.66049456506058,"14706.82,16035.07 14705.80,16035.33 14661.94,16049.08 14651.25,16052.11"
1,1,1527,1038,14.341966306261009,"14801.18,16011.06 14727.51,16029.78 14717.70,16032.29"
2,2,1533,1760,14.164886622670528,"14143.46,16040.02 14078.97,16010.76 14074.79,16010.50"
3,3,1048,1533,19.87310230546958,"14267.11,16095.18 14243.84,16085.60 14156.58,16045.98"
4,4,1532,1048,9.255761612880626,"14328.70,16102.30 14277.03,16097.69"
5,5,1529,1532,20.69600201156652,"14466.31,16095.32 14340.57,16103.10 14339.03,16103.03"
6,6,1044,1529,15.617237641026074,"14569.56,16074.16 14533.25,16083.86 14481.18,16093.46"
7,7,1046,1044,10.334608424671375,"14637.10,16056.08 14605.58,16064.85 14583.48,16070.52"
8,8,751,368,36.741965973534974,"10415.48,18492.56 10414.19,18489.01 10411.94,18482.17 10410.27,18480.76 10406.67,18480.99 10380.80,18488.74 10352.17,18495.21 10346.29,18496.54 10340.05,18497.58 10331.09,18494.80 10324.18,18491.63 10320.34,18487.87 10316.69,18483.81 10313.65,18477.32 10311.96,18470.25 10311.88,18461.75 10319.98,18441.48 10325.03,18426.42 10335.12,18391.13 10337.01,18383.70 10341.55,18367.65 10343.61,18358.27 10346.40,18346.38 10363.46,18291.92 10368.18,18271.75 10373.52,18251.18 10376.93,18236.11"
9,9,1068,679,14.426785986636283,"14384.70,15058.93 14388.96,15070.07 14396.25,15089.12 14403.61,15110.98 14410.77,15132.24 14412.33,15136.89"
10,10,720,1068,1.1011677803105568,"14373.77,15049.64 14375.41,15050.00"
11,11,868,1746,12.1857607472475,"13570.43,18609.31 13507.70,18592.93"
12,12,814,868,8.84951998582011,"13627.60,18624.39 13580.96,18612.07"
13,13,869,814,2.4910200868106376,"13643.93,18628.51 13638.49,18627.17"
14,14,870,869,11.50125104597337,"13717.08,18646.91 13654.81,18631.22"
15,15,688,1041,22.228708516593375,"13732.40,15800.43 13741.36,15773.90 13746.44,15768.47 13760.95,15724.81 13762.83,15709.91 13776.37,15671.65 13777.23,15669.88"
16,16,44,1748,11.978919772297274,"11108.75,15094.39 11122.13,15115.89 11124.55,15119.79 11135.00,15136.58 11150.59,15150.72"
17,17,1489,134,45.733082706766915,"11194.38,16673.71 11221.86,16623.25 11249.04,16577.14"
18,18,1788,139,8.060845764786874,"11007.53,16992.99 11028.53,16962.17"
19,19,140,1788,10.266157454543961,"10965.66,17051.17 10996.01,17009.48"
20,20,1490,140,3.4418933457544836,"10949.51,17074.16 10957.24,17063.00"
21,21,135,1489,6.607907742998352,"11177.41,16705.53 11184.51,16692.61 11190.26,16681.51"
22,22,136,135,22.545138888888893,"11147.68,16759.59 11170.47,16718.15"
23,23,137,136,13.184252072366936,"11101.26,16839.55 11139.47,16774.17"
24,24,138,137,6.734980234710243,"11079.96,16880.39 11094.74,16851.48"
25,25,1787,138,7.4477631627761305,"11057.16,16918.60 11075.04,16889.30"
26,26,139,1787,5.093645016220319,"11034.92,16952.75 11045.38,16937.21"
27,27,14,28,5.595729013254786,"11327.03,16354.94 11348.21,16296.79 11349.16,16289.60 11349.05,16288.05"
28,28,134,15,7.208526413345691,"11255.84,16564.28 11272.57,16528.57 11282.71,16503.93"
29,29,1461,1749,17.356785121003156,"11430.85,16356.15 11341.14,16378.09"
30,30,66,16,6.046006339732152,"14593.30,15450.65 14594.38,15452.30 14597.00,15459.68 14597.62,15464.45 14597.15,15466.04"
31,31,580,1365,30.337172347555843,"12310.40,16191.32 12275.40,16169.47 12256.41,16157.87 12230.65,16140.88 12210.92,16129.38 12188.67,16118.60 12170.19,16111.20 12155.89,16106.51 12143.13,16103.15"
32,32,866,580,164.0168067226891,"12485.76,16279.40 12459.59,16266.28 12367.06,16220.87 12323.30,16198.64"
33,33,625,606,5.010313400413034,"13942.35,16975.27 13951.48,16969.52"
34,34,1347,23,3.255885274756079,"14931.52,18070.41 14932.78,18070.53 14936.83,18070.80 14937.25,18070.83"
35,35,23,1075,1.8154387729444315,"14952.36,18069.09 14952.56,18069.12"
36,36,1145,815,123.95238095238096,"13607.40,18194.89 13612.42,18194.13"
37,37,620,1845,5.0,"13797.40,17140.58 13800.51,17104.21"
38,38,630,620,8.061241610738255,"13790.19,17233.97 13796.56,17150.84"
39,39,1426,853,13.987806939080047,"13809.77,16994.15 13810.92,16985.01 13816.21,16943.12 13817.78,16928.68 13819.52,16912.49"
40,40,1345,1346,3.0713652683256614,"14877.78,17141.29 14876.73,17141.53 14873.95,17142.10"
41,41,635,22,33.36687180797786,"13521.82,15309.19 13518.51,15306.97 13505.32,15298.88 13494.13,15292.80 13386.83,15229.88 13342.25,15205.23 13340.63,15204.31"
42,42,636,635,28.83869132759269,"13691.84,15404.03 13690.30,15403.15 13610.72,15357.72 13557.72,15329.29 13534.55,15316.86"
43,43,1145,24,5.050491143748689,"13596.26,18188.27 13597.67,18181.93 13599.90,18173.01"
44,45,779,978,91.10526511045072,"14568.00,19877.99 14579.43,19851.66 14593.67,19816.92 14626.01,19735.34 14645.89,19684.51 14664.19,19636.57 14688.18,19576.37 14690.33,19571.09 14738.44,19447.52 14769.54,19371.65 14783.67,19335.61 14788.25,19322.55"
45,47,978,26,56.135747762750604,"14792.94,19308.84 14824.94,19211.98 14832.39,19186.30 14844.42,19139.65 14862.93,19072.04 14871.36,19047.50 14882.18,19016.78 14887.61,18999.36 14892.70,18979.14 14893.83,18970.60 14892.57,18961.59"
